Date,Time,"Nitrogen dioxide",Status
2024-01-14,10:00:00,55.19538,V ugm-3
2024-01-14,11:00:00,56.6971,V ugm-3
2024-01-14,12:00:00,46.8289,V ugm-3
2024-01-14,13:00:00,39.45264,V ugm-3
2024-01-14,14:00:00,28.27184,V ugm-3
2024-01-14,15:00:00,28.63939,V ugm-3
2024-01-14,16:00:00,16.01432,V ugm-3
2024-01-14,17:00:00,8.21481,V ugm-3
2024-01-14,18:00:00,12.9976,V ugm-3
2024-01-14,19:00:00,31.97023,V ugm-3
2024-01-14,20:00:00,49.38259,V ugm-3
2024-01-14,21:00:00,40.55293,V ugm-3
2024-01-14,22:00:00,43.71855,V ugm-3
2024-01-14,23:00:00,39.35472,V ugm-3
2024-01-14,24:00:00,20.06733,V ugm-3
2024-01-15,01:00:00,17.33439,V ugm-3
2024-01-15,02:00:00,5.89368,V ugm-3
2024-01-15,03:00:00,10.14144,V ugm-3
2024-01-15,04:00:00,21.94709,V ugm-3
2024-01-15,05:00:00,24.5474,V ugm-3
2024-01-15,06:00:00,19.45117,V ugm-3
2024-01-15,07:00:00,52.40553,V ugm-3
2024-01-15,08:00:00,66.84968,V ugm-3
2024-01-15,09:00:00,83.08227,V ugm-3
2024-01-15,10:00:00,76.81334,V ugm-3
2024-01-15,11:00:00,72.9187,V ugm-3
2024-01-15,12:00:00,59.72797,V ugm-3
2024-01-15,13:00:00,38.82948,V ugm-3
2024-01-15,14:00:00,36.54314,V ugm-3
2024-01-15,15:00:00,28.33124,V ugm-3
2024-01-15,16:00:00,42.73669,V ugm-3
2024-01-15,17:00:00,54.16484,V ugm-3
2024-01-15,18:00:00,61.23529,V ugm-3
2024-01-15,19:00:00,78.87457,V ugm-3
2024-01-15,20:00:00,78.19732,V ugm-3
2024-01-15,21:00:00,70.09192,V ugm-3
2024-01-15,22:00:00,68.11288,V ugm-3
2024-01-15,23:00:00,49.97399,V ugm-3
2024-01-15,24:00:00,38.48176,V ugm-3
2024-01-16,01:00:00,52.21099,V ugm-3
2024-01-16,02:00:00,48.20435,V ugm-3
2024-01-16,03:00:00,55.65518,V ugm-3
2024-01-16,04:00:00,51.39113,V ugm-3
2024-01-16,05:00:00,44.05937,V ugm-3
2024-01-16,06:00:00,52.52997,V ugm-3
2024-01-16,07:00:00,62.61074,V ugm-3
2024-01-16,08:00:00,61.41028,V ugm-3
2024-01-16,09:00:00,66.83308,V ugm-3
2024-01-16,10:00:00,72.7058,V ugm-3
2024-01-16,11:00:00,70.8949,V ugm-3
2024-01-16,12:00:00,68.92613,V ugm-3
2024-01-16,13:00:00,55.58071,V ugm-3
2024-01-16,14:00:00,29.12169,V ugm-3
2024-01-16,15:00:00,23.40052,V ugm-3
2024-01-16,16:00:00,24.44276,V ugm-3
2024-01-16,17:00:00,23.92119,V ugm-3
2024-01-16,18:00:00,33.17546,V ugm-3
2024-01-16,19:00:00,50.90719,V ugm-3
