Place Code,Intermediate Zone,Local Authority,Local Authority (code),Population ,Working Age population,Average distance to nearest park or public garden (m),Median distance to nearest park or public garden (m),Average size of nearest park or public garden (m2),Median size of nearest park or public garden (m2),"Average number of parks and public gardens in 1,000 m radius","Median number of parks and public gardens in 1,000 m radius","Average combined size of parks and public gardens in 1,000 m radius (m2)","Median combined size of parks and public gardens in 1,000 m radius (m2)",Average population per park or public garden,Median population per park or public garden,Number of flats in rural and built up areas,Number of flats in rural and built up areas with gardens,Average garden size for flats in built up area,Number of houses in rural and built up area,Number of houses in rural and built up area with gardens,Average garden size for houses in rural and built up area ,SIMD2020 Rank,SIMD2020 Quintile,SIMD2020 Health Domain Rank,Alcohol Hospital visits ratio,Drug hospital visits ratio,Depression (%),Crime Rate,Overcrowded rate,Drive to secondary,Urban or Rural
S01012859,Farme Cross and Gallowflat North,South Lanarkshire,S12000029,1038,808,565.61,591.87,95343.15,95343.15,1.25,1,105272.88,95343,8431.17,8431.17,392,287.37,279.63,133,118,122.27,2251,2,1819,158.12,257.46,18.42%,541.84,17.85%,5.44,URBAN
S01012860,Shawfield and Clincarthill,South Lanarkshire,S12000029,986,470,124.69,108.00,64812.45,76521.53,3.95,4,122221.52,123102,10444.29,10345.70,221,141.91,277.48,180,177,279.41,4064,3,2856,56.96,0.00,26.59%,140.32,9.41%,4.18,URBAN
S01012861,Shawfield and Clincarthill,South Lanarkshire,S12000029,607,405,187.73,187.66,76521.53,76521.53,4.00,4,123102.00,123102,10345.70,10345.70,216,138.70,277.48,119,118,259.39,4714,4,3863,96.15,24.69,16.24%,289.23,9.32%,4.22,URBAN
S01012862,Shawfield and Clincarthill,South Lanarkshire,S12000029,557,374,438.52,408.00,51325.95,76521.53,3.29,3,110004.92,104612,11547.98,10345.70,386,247.86,277.48,4,4,194.95,214,1,262,470.47,435.22,26.07%,1253.10,17.86%,5.25,URBAN
S01012863,Shawfield and Clincarthill,South Lanarkshire,S12000029,669,505,448.32,462.91,76521.53,76521.53,3.76,4,118638.90,123102,10345.70,10345.70,485,311.44,277.48,13,11,166.90,381,1,278,370.69,139.28,27.55%,1211.03,25.44%,4.48,URBAN
S01012864,Shawfield and Clincarthill,South Lanarkshire,S12000029,720,525,639.10,646.42,77296.79,76521.53,2.14,2,238343.30,104612,8836.70,10345.70,472,303.09,277.48,7,6,97.26,474,1,570,198.78,378.58,24.08%,991.70,18.71%,6.11,URBAN
S01012865,Burnhill and Bankhead North,South Lanarkshire,S12000029,732,427,119.72,120.00,20083.44,16052.15,3.47,3,114732.53,123102,13038.81,13231.18,244,163.96,261.86,156,155,193.11,2655,2,1995,242.50,44.33,21.38%,109.31,12.71%,6.27,URBAN
S01012866,Burnhill and Bankhead North,South Lanarkshire,S12000029,721,505,220.43,242.59,16052.15,16052.15,3.42,3,200039.84,126990,13231.18,13231.18,279,187.48,261.86,137,135,185.89,2335,2,2358,151.87,39.92,20.27%,310.04,10.01%,6.16,URBAN
S01012867,Burnhill and Bankhead North,South Lanarkshire,S12000029,671,396,449.41,442.62,16052.15,16052.15,2.89,3,123367.16,126990,13231.18,13231.18,291,195.55,261.86,110,110,152.47,559,1,510,164.29,284.91,29.69%,537.20,21.53%,5.74,URBAN
S01012868,Burnhill and Bankhead North,South Lanarkshire,S12000029,582,383,481.18,475.96,16052.15,16052.15,2.40,2,99626.40,92573,13231.18,13231.18,319,214.36,261.86,21,20,185.71,900,1,684,267.26,141.87,26.84%,670.66,20.22%,5.76,URBAN
S01012869,Burnhill and Bankhead North,South Lanarkshire,S12000029,588,402,692.07,662.44,16052.15,16052.15,2.33,2,100810.50,92573,13231.18,13231.18,184,123.64,261.86,78,78,194.83,210,1,214,345.17,752.40,24.96%,719.78,21.98%,5.63,URBAN
S01012870,Bankhead South,South Lanarkshire,S12000029,864,558,196.65,188.77,48302.48,76521.53,3.93,4,139091.13,123102,11692.26,10345.70,74,59.67,239.47,382,380,191.57,3198,3,2947,81.13,96.70,17.73%,136.02,8.96%,5.24,URBAN
S01012871,Bankhead South,South Lanarkshire,S12000029,768,485,430.02,461.46,79630.56,16052.15,3.81,4,367485.94,397356,16024.51,13231.18,213,171.76,239.47,179,179,302.76,4173,3,3508,23.58,21.18,20.33%,114.41,9.69%,5.55,URBAN
S01012872,Bankhead South,South Lanarkshire,S12000029,705,486,486.45,494.98,31077.92,34416.98,3.82,4,336200.55,323118,14845.29,15203.98,334,269.33,239.47,0,0,0.00,3604,3,3449,122.71,36.87,14.66%,171.43,12.95%,5.36,URBAN
S01012873,Bankhead South,South Lanarkshire,S12000029,708,495,401.72,398.57,18347.75,16052.15,3.81,4,337382.63,397356,13477.78,13231.18,257,207.24,239.47,87,87,161.30,3567,3,3213,61.46,19.56,18.49%,368.92,13.36%,5.91,URBAN
S01012874,Spittal,South Lanarkshire,S12000029,713,451,560.96,584.63,211038.35,300894.23,3.73,4,999054.82,407944,15156.95,19166.46,189,151.58,576.43,196,196,225.40,849,1,678,460.94,228.93,23.12%,141.05,16.60%,4.88,URBAN
S01012875,Spittal,South Lanarkshire,S12000029,573,381,565.76,567.79,42806.86,18490.02,4.71,5,378718.00,423996,7735.29,6565.16,173,138.75,576.43,120,118,148.29,1412,2,1681,95.53,0.00,23.43%,393.13,15.71%,5.15,URBAN
S01012876,Spittal,South Lanarkshire,S12000029,756,449,762.65,805.68,112173.61,46286.84,2.96,3,384783.83,362939,16256.46,13231.18,174,139.55,576.43,310,259,207.39,1180,1,756,255.42,228.67,26.74%,286.93,18.35%,4.83,URBAN
S01012877,Spittal,South Lanarkshire,S12000029,662,388,576.77,545.60,58736.42,76521.53,3.47,4,181001.18,123102,11194.37,10345.70,60,48.12,576.43,275,274,208.90,1685,2,1172,161.32,105.29,25.26%,197.21,12.26%,5.22,URBAN
S01012878,High Crosshill,South Lanarkshire,S12000029,1241,836,362.35,289.89,115461.37,150708.52,3.13,3,345934.78,218868,9908.16,10508.45,64,35.19,296.60,469,467,229.17,6290,5,5836,36.08,0.00,12.78%,337.78,5.19%,2.11,URBAN
S01012879,High Crosshill,South Lanarkshire,S12000029,692,442,451.01,511.78,38786.87,18490.02,3.70,4,214695.85,218868,7234.52,6565.16,128,70.37,296.60,205,205,230.43,5696,5,4567,75.77,23.07,14.39%,323.48,7.82%,2.85,URBAN
S01012880,High Crosshill,South Lanarkshire,S12000029,865,541,187.01,177.71,27169.83,18490.02,3.73,4,118780.31,123102,7038.88,6565.16,88,48.38,296.60,305,300,340.54,6243,5,5643,79.27,0.00,15.23%,126.69,4.26%,3.88,URBAN
S01012881,High Crosshill,South Lanarkshire,S12000029,949,513,243.27,213.93,17648.59,18490.02,3.78,4,144114.96,144681,6199.23,6565.16,202,111.06,296.60,269,266,386.12,5962,5,4397,33.95,0.00,17.29%,32.15,5.17%,2.64,URBAN
S01012882,Burnside and Springhall,South Lanarkshire,S12000029,579,343,378.53,363.09,150708.52,150708.52,3.13,3,1016608.63,608493,10508.45,10508.45,211,150.04,259.64,84,84,241.07,1128,1,822,440.44,210.86,21.79%,239.93,11.28%,2.96,URBAN
S01012883,Burnside and Springhall,South Lanarkshire,S12000029,595,408,385.27,391.48,285085.21,300894.23,2.95,3,2072462.21,2162510,18255.09,19166.46,307,218.31,259.64,82,81,218.68,190,1,145,400.28,230.56,30.78%,700.65,19.87%,3.61,URBAN
S01012884,Burnside and Springhall,South Lanarkshire,S12000029,476,268,315.68,309.10,289341.48,300894.23,2.85,3,1899293.38,2162510,18500.46,19166.46,208,147.91,259.64,81,81,358.11,1722,2,1220,268.42,107.18,27.03%,583.39,17.70%,3.52,URBAN
S01012885,Burnside and Springhall,South Lanarkshire,S12000029,460,305,359.67,364.05,150708.52,150708.52,2.00,2,451602.00,451602,10508.45,10508.45,224,159.28,259.64,61,54,80.86,172,1,338,411.56,297.29,27.31%,988.54,23.99%,3.27,URBAN
S01012886,Burnside and Springhall,South Lanarkshire,S12000029,715,454,479.01,526.84,300894.23,300894.23,2.86,3,1921700.50,2030292,19166.46,19166.46,38,27.02,259.64,285,285,327.09,6141,5,5110,33.99,22.22,15.19%,41.67,6.66%,3.89,URBAN
S01012887,Burnside and Springhall,South Lanarkshire,S12000029,690,405,641.69,648.68,149769.47,150708.52,3.73,4,489244.31,482131,11444.80,10508.45,134,95.29,259.64,229,228,324.63,5791,5,4291,103.95,25.68,16.62%,41.84,2.72%,3.58,URBAN
S01012888,Burnside and Springhall,South Lanarkshire,S12000029,825,457,530.94,537.78,47704.25,18490.02,3.52,3,424185.07,407944,7868.75,6565.16,41,29.15,259.64,297,293,335.56,6512,5,5011,26.98,0.00,18.48%,61.09,3.47%,4.59,URBAN
S01012889,Fernhill and Cathkin,South Lanarkshire,S12000029,1077,692,205.80,206.51,621351.95,300894.23,2.27,2,2052904.18,2011802,18157.92,19166.46,23,20.30,637.15,381,381,268.66,4322,4,4168,36.17,25.06,14.01%,109.96,6.86%,4.00,URBAN
S01012890,Fernhill and Cathkin,South Lanarkshire,S12000029,836,572,464.40,485.06,535896.56,300894.23,2.89,3,2145764.67,2162510,18426.87,19166.46,84,74.15,637.15,255,252,272.55,928,1,748,305.51,204.07,22.33%,184.16,14.23%,4.03,URBAN
S01012891,Fernhill and Cathkin,South Lanarkshire,S12000029,576,349,473.41,469.96,284206.93,300894.23,3.17,3,2189345.50,2162510,18204.46,19166.46,49,43.25,637.15,213,212,199.50,1861,2,1567,112.41,106.41,23.39%,371.30,14.96%,3.80,URBAN
S01012892,Fernhill and Cathkin,South Lanarkshire,S12000029,1257,805,206.42,211.45,300894.23,300894.23,2.00,2,2011802.00,2011802,19166.46,19166.46,279,246.27,637.15,390,388,174.84,623,1,535,165.94,318.53,29.48%,285.54,20.78%,2.89,URBAN
S01012893,Fernhill and Cathkin,South Lanarkshire,S12000029,803,473,286.86,272.83,300894.23,300894.23,2.08,2,2013342.83,2011802,19166.46,19166.46,264,233.03,637.15,166,166,158.05,479,1,661,216.88,307.37,26.55%,425.98,20.91%,3.13,URBAN
S01012894,Nerston and EK Landward Area,South Lanarkshire,S12000029,2287,1384,1553.52,1553.19,50594.32,45947.08,1.00,1,50594.17,45947,28027.99,29721.26,44,9.35,645.12,786,763,307.64,5343,4,3974,47.18,35.38,15.56%,57.20,4.79%,7.66,URBAN
S01012895,Nerston and EK Landward Area,South Lanarkshire,S12000029,621,402,1640.66,1539.18,44973.61,45947.08,1.00,1,44973.51,45947,29132.88,29721.26,28,5.95,645.12,348,286,484.60,4971,4,5375,46.86,0.00,12.55%,565.02,4.79%,5.98,URBAN
S01012896,Nerston and EK Landward Area,South Lanarkshire,S12000029,769,494,1358.98,1339.04,6034.77,6034.77,1.00,1,6034.00,6034,5597.84,5597.84,375,79.71,645.12,118,118,107.26,1296,1,996,139.81,43.96,32.21%,114.99,9.76%,2.78,URBAN
S01012897,Nerston and EK Landward Area,South Lanarkshire,S12000029,610,361,2027.70,2080.32,72507.92,83689.58,1.00,1,72507.32,83689,15851.26,14914.85,5,1.06,645.12,380,343,235.80,5110,4,5058,13.36,0.00,18.79%,87.94,3.79%,5.62,URBAN
S01012898,Nerston and EK Landward Area,South Lanarkshire,S12000029,575,419,1980.15,1987.94,3119.51,3119.51,1.00,1,3119.00,3119,20430.54,20430.54,1,0.21,645.12,178,178,278.84,5878,5,6621,0.00,0.00,12.21%,*,2.29%,5.22,URBAN
S01012899,Nerston and EK Landward Area,South Lanarkshire,S12000029,483,325,1820.43,1801.65,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,261,55.48,645.12,63,63,79.20,837,1,809,155.88,158.25,29.23%,366.67,8.13%,6.24,URBAN
S01012900,Nerston and EK Landward Area,South Lanarkshire,S12000029,1281,569,948.91,839.37,253303.06,125241.49,1.48,1,327149.68,141065.5,13446.39,12878.08,161,34.22,645.12,666,559,312.04,2533,2,1545,65.44,39.11,30.21%,493.90,5.24%,6.30,URBAN
S01012901,Calderwood East,South Lanarkshire,S12000029,660,438,1891.88,1891.63,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,148,57.69,279.25,200,200,104.00,3517,3,2990,82.94,145.59,18.76%,135.31,9.43%,4.80,URBAN
S01012902,Calderwood East,South Lanarkshire,S12000029,703,471,2018.10,2033.40,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,146,56.91,279.25,216,216,107.61,3123,3,2717,82.70,19.33,20.88%,99.86,10.83%,4.99,URBAN
S01012903,Calderwood East,South Lanarkshire,S12000029,773,534,2012.05,2053.52,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,208,81.07,279.25,240,240,108.14,2771,2,2312,125.51,122.71,20.23%,141.27,13.32%,5.15,URBAN
S01012904,Calderwood East,South Lanarkshire,S12000029,782,492,1570.86,1564.69,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,177,68.99,279.25,206,206,111.13,2909,3,2402,117.48,189.95,20.18%,363.77,9.68%,5.64,URBAN
S01012905,Calderwood East,South Lanarkshire,S12000029,605,414,2019.27,2057.84,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,83,32.35,279.25,196,196,125.70,1844,2,1395,61.47,69.10,25.37%,246.95,16.88%,5.65,URBAN
S01012906,Calderwood Central,South Lanarkshire,S12000029,849,591,1321.28,1316.61,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,222,154.22,475.58,269,268,113.23,4279,4,3263,80.33,48.27,22.25%,47.99,14.33%,4.59,URBAN
S01012907,Calderwood Central,South Lanarkshire,S12000029,817,516,1144.21,1036.31,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,180,125.04,475.58,283,282,128.40,3083,3,2322,86.96,107.55,21.82%,195.96,9.21%,4.80,URBAN
S01012908,Calderwood Central,South Lanarkshire,S12000029,652,433,997.02,940.84,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,160,111.15,475.58,205,205,171.84,2762,2,1785,170.14,186.62,21.78%,249.96,12.30%,5.48,URBAN
S01012909,Calderwood Central,South Lanarkshire,S12000029,542,340,1311.87,1290.65,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,131,91.00,475.58,211,209,151.51,2571,2,1529,137.92,77.21,27.37%,248.85,7.21%,5.21,URBAN
S01012910,Calderwood Central,South Lanarkshire,S12000029,864,564,1225.15,1260.47,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,319,221.60,475.58,173,173,145.03,1596,2,1052,283.38,83.98,30.44%,184.27,10.79%,5.90,URBAN
S01012911,Calderwood West and Nerston,South Lanarkshire,S12000029,719,453,307.29,285.93,59913.99,59913.99,2.08,2,79173.08,65948,22185.18,22185.18,127,89.80,519.06,243,238,222.94,4003,3,2690,79.43,67.34,23.64%,184.40,8.79%,4.81,URBAN
S01012912,Calderwood West and Nerston,South Lanarkshire,S12000029,698,431,741.82,754.51,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,158,111.72,519.06,202,201,190.50,2232,2,1597,162.87,69.45,24.26%,370.37,11.59%,4.89,URBAN
S01012913,Calderwood West and Nerston,South Lanarkshire,S12000029,774,528,495.70,486.64,59913.99,59913.99,1.30,1,61723.50,59913,22185.18,22185.18,154,108.89,519.06,273,272,199.25,3746,3,2374,135.18,0.00,23.47%,163.60,10.32%,5.09,URBAN
S01012914,Calderwood West and Nerston,South Lanarkshire,S12000029,892,601,386.37,359.17,59913.99,59913.99,2.38,2,92211.63,92262,22185.18,22185.18,195,137.89,519.06,218,218,178.37,3684,3,3143,128.16,32.00,18.44%,157.27,8.84%,5.54,URBAN
S01012915,Calderwood West and Nerston,South Lanarkshire,S12000029,1029,690,418.82,398.03,51150.56,59913.99,3.88,4,226852.67,231345,14373.73,22185.18,182,128.69,519.06,282,278,240.88,4306,4,3260,64.15,41.42,17.79%,200.05,4.74%,5.86,URBAN
S01012916,St Leonards North,South Lanarkshire,S12000029,642,398,1089.11,1096.84,59913.99,59913.99,1.08,1,60377.23,59913,22185.18,22185.18,162,157.77,401.09,193,169,134.30,3497,3,2502,62.42,0.00,24.06%,343.07,8.91%,2.66,URBAN
S01012917,St Leonards North,South Lanarkshire,S12000029,677,438,1397.29,1346.94,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,0,0.00,0.00,272,272,244.38,6693,5,5159,5.08,25.92,17.76%,88.35,2.23%,3.20,URBAN
S01012918,St Leonards North,South Lanarkshire,S12000029,483,335,928.68,961.46,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,144,140.24,401.09,118,118,112.76,4232,4,3259,97.87,54.23,21.05%,83.52,12.24%,3.10,URBAN
S01012919,St Leonards North,South Lanarkshire,S12000029,473,272,703.63,715.30,59913.99,59913.99,1.71,2,64223.71,65948,22185.18,22185.18,69,67.20,401.09,164,164,130.06,4019,3,3370,132.70,35.26,19.25%,173.90,10.99%,4.07,URBAN
S01012920,St Leonards North,South Lanarkshire,S12000029,561,309,1555.90,1578.88,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,78,75.96,401.09,182,180,511.74,6244,5,4881,23.75,109.10,14.82%,70.11,3.33%,3.56,URBAN
S01012921,St Leonards North,South Lanarkshire,S12000029,706,444,587.37,556.89,59913.99,59913.99,1.73,2,64338.67,65948,22185.18,22185.18,145,141.21,401.09,200,200,135.70,2858,3,2743,93.75,45.26,25.22%,150.12,12.06%,4.17,URBAN
S01012922,St Leonards North,South Lanarkshire,S12000029,1298,877,1017.51,1043.68,59913.99,59913.99,1.00,1,59913.00,59913,22185.18,22185.18,129,125.63,401.09,433,430,169.27,4642,4,3798,37.48,42.39,19.34%,130.92,7.81%,4.05,URBAN
S01012923,St Leonards South,South Lanarkshire,S12000029,666,443,1431.58,1455.13,6034.77,6034.77,1.00,1,6034.00,6034,5597.84,5597.84,100,85.79,598.04,211,210,119.27,4151,3,3659,97.22,66.48,16.79%,133.11,12.75%,2.60,URBAN
S01012924,St Leonards South,South Lanarkshire,S12000029,521,331,1049.29,1058.45,6034.77,6034.77,1.00,1,6034.00,6034,5597.84,5597.84,106,90.94,598.04,145,145,122.14,3152,3,3314,65.63,26.23,19.08%,252.04,4.80%,3.28,URBAN
S01012925,St Leonards South,South Lanarkshire,S12000029,488,306,948.35,944.98,6034.77,6034.77,1.00,1,6034.00,6034,5597.84,5597.84,48,41.18,598.04,153,152,282.40,5469,4,5366,44.13,68.36,15.58%,102.90,5.19%,3.29,URBAN
S01012926,St Leonards South,South Lanarkshire,S12000029,661,439,649.43,655.10,6034.77,6034.77,2.17,2,81547.17,65948,5597.84,5597.84,160,137.26,598.04,179,179,189.35,3545,3,3516,129.94,65.55,19.43%,194.57,9.47%,3.88,URBAN
S01012927,St Leonards South,South Lanarkshire,S12000029,720,460,999.33,1007.35,23994.51,6034.77,1.33,1,37978.44,59913,11126.96,5597.84,112,96.08,598.04,230,228,120.55,4132,3,3319,25.98,39.17,20.11%,171.18,10.23%,2.48,URBAN
S01012928,St Leonards South,South Lanarkshire,S12000029,825,519,338.03,274.82,28651.94,6034.77,4.00,5,160434.52,194506,10725.42,5597.84,161,138.12,598.04,242,240,295.62,4520,4,4686,13.19,18.84,17.62%,1237.49,5.56%,3.19,URBAN
S01012929,St Leonards South,South Lanarkshire,S12000029,703,403,685.95,654.55,56065.47,59913.99,1.86,2,65085.86,65948,21000.37,22185.18,87,74.64,598.04,256,255,162.40,5018,4,3657,57.86,23.34,19.45%,200.28,6.14%,3.11,URBAN
S01012930,East Mains,South Lanarkshire,S12000029,869,485,183.62,203.38,50692.06,59913.99,5.00,5,194506.00,194506,17226.17,22185.18,443,282.10,444.78,152,121,291.11,1421,2,676,470.86,723.47,25.96%,1038.07,6.56%,3.45,URBAN
S01012931,East Mains,South Lanarkshire,S12000029,897,602,140.17,143.59,59913.99,59913.99,5.00,5,198631.93,194506,22185.18,22185.18,309,196.77,444.78,204,203,244.37,3087,3,2977,76.67,44.50,19.42%,219.51,7.13%,4.31,URBAN
S01012932,East Mains,South Lanarkshire,S12000029,523,351,169.51,162.10,29881.28,32349.01,5.47,6,311439.93,319747,4295.93,4783.20,43,27.38,444.78,175,169,297.01,5052,4,4548,63.31,123.01,15.65%,92.64,4.49%,4.75,URBAN
S01012933,East Mains,South Lanarkshire,S12000029,776,491,251.41,240.07,44333.78,32349.01,5.39,5,287250.00,313713,12349.28,4783.20,64,40.75,444.78,296,294,254.11,3145,3,2896,85.03,62.88,21.11%,164.63,12.20%,4.89,URBAN
S01012934,West Mains,South Lanarkshire,S12000029,710,442,108.70,111.13,78336.72,82367.70,4.74,5,186569.79,194506,21622.56,22903.42,185,104.41,553.90,188,185,320.84,2017,2,1952,76.13,44.18,23.90%,1236.85,9.75%,4.34,URBAN
S01012935,West Mains,South Lanarkshire,S12000029,832,567,282.78,275.09,82367.70,82367.70,3.05,3,131552.70,128557,22903.42,22903.42,42,23.70,553.90,332,328,213.43,3710,3,2815,62.73,52.73,22.17%,82.61,11.39%,5.58,URBAN
S01012936,West Mains,South Lanarkshire,S12000029,799,533,143.74,141.48,32164.09,13840.98,5.16,5,245651.11,194506,6482.21,1128.68,314,177.22,553.90,121,118,263.16,3948,3,2491,208.85,97.82,22.30%,207.44,11.16%,4.59,URBAN
S01012937,West Mains,South Lanarkshire,S12000029,660,455,509.34,557.45,46088.85,13840.98,3.65,4,194224.65,188471,11375.62,1128.68,150,84.66,553.90,168,167,203.27,3583,3,3782,65.24,0.00,17.10%,238.76,6.65%,6.15,URBAN
S01012938,Stewartfield East,South Lanarkshire,S12000029,644,387,464.13,472.79,68634.74,32349.01,4.10,4,256297.38,253799,5778.69,4783.20,48,30.72,221.02,262,246,302.41,5356,4,4519,9.91,0.00,17.66%,45.37,2.17%,6.54,URBAN
S01012939,Stewartfield East,South Lanarkshire,S12000029,611,428,388.41,385.94,88084.50,125241.49,3.80,4,235080.00,253799,7151.42,8730.23,0,0.00,0.00,211,196,231.14,6220,5,6340,5.73,0.00,11.70%,*,1.54%,6.69,URBAN
S01012940,Stewartfield East,South Lanarkshire,S12000029,638,463,183.62,191.15,47831.09,32349.01,4.58,5,281264.17,313713,5441.04,4783.20,52,33.28,221.02,221,212,255.50,6079,5,6219,25.08,0.00,12.37%,59.78,2.15%,6.89,URBAN
S01012941,Stewartfield East,South Lanarkshire,S12000029,710,527,199.70,205.75,125241.49,125241.49,2.86,3,169543.59,171431,8730.23,8730.23,0,0.00,0.00,279,261,329.51,5940,5,6016,9.09,0.00,13.17%,162.42,1.01%,6.80,URBAN
S01012942,Stewartfield West,South Lanarkshire,S12000029,730,481,709.95,663.87,82367.70,82367.70,2.13,2,105456.67,96208,22903.42,22903.42,153,84.10,472.37,222,219,180.20,2121,2,1783,90.50,58.19,22.77%,68.13,15.61%,6.40,URBAN
S01012943,Stewartfield West,South Lanarkshire,S12000029,769,495,971.65,924.89,96813.15,82367.70,1.63,1,121553.11,96208,15789.72,22903.42,23,12.64,472.37,273,265,205.59,4996,4,4049,80.97,96.01,14.67%,107.55,2.26%,6.09,URBAN
S01012944,Stewartfield West,South Lanarkshire,S12000029,521,324,556.83,575.58,125241.49,125241.49,1.36,1,135321.73,125241,8730.23,8730.23,0,0.00,0.00,211,209,227.07,5839,5,5248,14.03,0.00,14.68%,57.83,1.90%,6.52,URBAN
S01012945,Stewartfield West,South Lanarkshire,S12000029,776,500,1578.07,1487.04,135406.92,125241.49,1.00,1,135406.44,125241,10021.33,8730.23,26,14.29,472.37,245,234,460.86,5166,4,5234,23.53,21.93,14.89%,344.47,2.35%,7.72,URBAN
S01012946,Stewartfield West,South Lanarkshire,S12000029,864,570,511.08,532.23,125241.49,125241.49,1.14,1,129862.29,125241,8730.23,8730.23,80,43.97,472.37,271,268,226.08,6030,5,5379,25.78,17.91,13.59%,60.35,3.14%,7.03,URBAN
S01012947,Stewartfield West,South Lanarkshire,S12000029,429,326,1122.97,1134.24,125241.49,125241.49,1.00,1,125241.00,125241,8730.23,8730.23,0,0.00,0.00,152,152,382.73,6137,5,6018,30.07,38.78,13.60%,70.23,1.55%,7.93,URBAN
S01012948,"Thorntonhall, Jackton and Gardenhall",South Lanarkshire,S12000029,633,414,2470.90,2448.01,60818.26,45947.08,1.00,1,60817.93,45947,24302.79,29721.26,0,0.00,0.00,250,243,227.45,6398,5,6272,16.58,0.00,15.05%,*,4.85%,6.04,URBAN
S01012949,"Thorntonhall, Jackton and Gardenhall",South Lanarkshire,S12000029,665,408,2673.24,2714.03,65863.84,45947.08,1.00,1,65863.43,45947,22464.38,29721.26,32,20.27,625.73,274,269,249.67,6052,5,5598,30.43,0.00,14.19%,113.02,9.00%,6.22,URBAN
S01012950,"Thorntonhall, Jackton and Gardenhall",South Lanarkshire,S12000029,832,600,2635.42,2619.98,74780.07,82367.70,1.00,1,74779.50,82367,24323.81,22903.42,10,6.34,625.73,268,251,227.12,6215,5,5861,34.01,0.00,12.27%,134.55,3.24%,6.72,URBAN
S01012951,"Thorntonhall, Jackton and Gardenhall",South Lanarkshire,S12000029,1287,869,2754.47,2766.64,99564.40,101713.99,1.00,1,99563.44,101713,10902.16,9402.01,23,14.57,625.73,330,322,327.85,6428,5,6671,6.49,9.87,10.09%,31.26,2.52%,7.13,URBAN
S01012952,"Thorntonhall, Jackton and Gardenhall",South Lanarkshire,S12000029,797,457,1897.88,1925.53,23229.18,9486.84,1.00,1,23228.34,9486,10897.42,11658.72,66,41.82,625.73,271,247,1190.78,5820,5,6477,34.57,0.00,14.35%,148.48,3.28%,7.37,URBAN
S01012953,Hairmyres and Westwood West,South Lanarkshire,S12000029,600,405,2210.54,2217.02,45947.08,45947.08,1.00,1,45947.00,45947,29721.26,29721.26,52,24.98,336.25,244,241,203.72,5672,5,5214,16.36,25.24,15.83%,*,5.26%,6.09,URBAN
S01012954,Hairmyres and Westwood West,South Lanarkshire,S12000029,457,301,2443.49,2456.64,45947.08,45947.08,1.00,1,45947.00,45947,29721.26,29721.26,8,3.84,336.25,170,170,153.58,6348,5,4570,23.51,0.00,18.28%,*,9.69%,4.91,URBAN
S01012955,Hairmyres and Westwood West,South Lanarkshire,S12000029,1093,741,2068.60,2003.02,82367.70,82367.70,1.00,1,82367.00,82367,22903.42,22903.42,130,62.46,336.25,323,310,265.94,4988,4,5367,14.33,13.16,13.24%,641.62,5.45%,6.05,URBAN
S01012956,Hairmyres and Westwood West,South Lanarkshire,S12000029,1067,582,1438.61,1455.50,82367.70,82367.70,1.00,1,82367.00,82367,22903.42,22903.42,177,85.04,336.25,311,299,268.63,2532,2,2397,106.34,67.53,26.53%,373.33,13.39%,3.49,URBAN
S01012957,Hairmyres and Westwood West,South Lanarkshire,S12000029,631,413,1594.57,1548.34,82367.70,82367.70,1.00,1,82367.00,82367,22903.42,22903.42,93,44.68,336.25,218,215,215.25,2875,3,2890,206.92,25.23,21.15%,241.02,10.58%,4.44,URBAN
S01012958,Mossneuk and Newlandsmuir,South Lanarkshire,S12000029,530,358,1694.36,1691.57,45947.08,45947.08,1.00,1,45947.00,45947,29721.26,29721.26,6,4.93,203.89,221,216,273.42,3675,3,3132,54.80,30.05,22.44%,190.20,12.75%,7.28,URBAN
S01012959,Mossneuk and Newlandsmuir,South Lanarkshire,S12000029,536,407,1568.23,1593.21,45947.08,45947.08,1.00,1,45947.00,45947,29721.26,29721.26,24,19.71,203.89,205,198,178.13,4874,4,3931,49.94,50.84,21.21%,148.23,7.17%,7.24,URBAN
S01012960,Mossneuk and Newlandsmuir,South Lanarkshire,S12000029,520,317,1723.03,1775.06,45947.08,45947.08,1.00,1,45947.00,45947,29721.26,29721.26,2,1.64,203.89,228,226,280.84,3661,3,2773,106.47,101.06,22.29%,95.28,6.98%,6.29,URBAN
